"COUNTRY","Country","DAGEGR","Age groups","DSEX","Gender","DSTATUS","Status of population","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2002","2002",275373,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2003","2003",275072,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2004","2004",275265,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2005","2005",276826,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2006","2006",272274,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2007","2007",274150,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2008","2008",274009,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2009","2009",276519,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2010","2010",278695,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2011","2011",278490,,
"AUS","Australia","1010","10 years","90","Total males+females","90","All population","2012","2012",271416,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2002","2002",1366916,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2003","2003",1379457,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2004","2004",1387485,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2005","2005",1394031,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2006","2006",1390910,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2007","2007",1400485,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2008","2008",1402314,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2009","2009",1404996,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2010","2010",1403778,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2011","2011",1405184,,
"AUS","Australia","1014","10-14 years","90","Total males+females","90","All population","2012","2012",1382636,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2002","2002",276967,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2003","2003",276936,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2004","2004",276463,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2005","2005",277048,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2006","2006",278557,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2007","2007",276447,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2008","2008",277269,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2009","2009",277107,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2010","2010",278877,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2011","2011",280580,,
"AUS","Australia","1111","11 years","90","Total males+females","90","All population","2012","2012",276035,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2002","2002",274433,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2003","2003",278678,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2004","2004",278380,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2005","2005",278225,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2006","2006",278623,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2007","2007",282966,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2008","2008",279371,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2009","2009",280247,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2010","2010",279518,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2011","2011",280751,,
"AUS","Australia","1212","12 years","90","Total males+females","90","All population","2012","2012",277312,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2002","2002",271269,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2003","2003",275986,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2004","2004",280212,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2005","2005",280095,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2006","2006",279777,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2007","2007",282636,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2008","2008",286061,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2009","2009",282223,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2010","2010",282344,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2011","2011",281262,,
"AUS","Australia","1313","13 years","90","Total males+females","90","All population","2012","2012",278628,,
